Periodo;Data;Altura_m
1;2000-10-01;7.59
2;2000-10-02;7.60
3;2000-10-03;7.82
4;2000-10-04;8.17
5;2000-10-05;8.16
6;2000-10-06;8.16
7;2000-10-07;8.21
8;2000-10-08;8.21
9;2000-10-09;8.19
10;2000-10-10;8.17
11;2000-10-11;8.16
12;2000-10-12;8.14
13;2000-10-13;8.13
14;2000-10-14;8.11
15;2000-10-15;8.08
16;2000-10-16;8.06
17;2000-10-17;8.04
18;2000-10-18;8.02
19;2000-10-19;8.00
20;2000-10-20;7.99
21;2000-10-21;7.97
22;2000-10-22;7.95
23;2000-10-23;7.93
24;2000-10-24;7.91
25;2000-10-25;7.89
26;2000-10-26;7.87
27;2000-10-27;7.85
28;2000-10-28;7.84
29;2000-10-29;7.81
30;2000-10-30;7.80
31;2000-10-31;7.78
32;2000-11-01;7.77
33;2000-11-02;7.75
34;2000-11-03;7.73
35;2000-11-04;7.72
36;2000-11-05;7.70
37;2000-11-06;7.68
38;2000-11-07;7.67
39;2000-11-08;7.66
40;2000-11-09;7.65
41;2000-11-10;7.65
42;2000-11-11;7.64
43;2000-11-12;7.63
44;2000-11-13;7.62
45;2000-11-14;7.61
46;2000-11-15;7.60
47;2000-11-16;7.59
48;2000-11-17;7.58
49;2000-11-18;7.57
50;2000-11-19;7.56
51;2000-11-20;7.56
52;2000-11-21;7.55
53;2000-11-22;7.53
54;2000-11-23;7.52
55;2000-11-24;7.51
56;2000-11-25;7.51
57;2000-11-26;7.51
58;2000-11-27;7.50
59;2000-11-28;7.49
60;2000-11-29;7.48
61;2000-11-30;7.47
62;2000-12-01;7.46
63;2000-12-02;7.45
64;2000-12-03;7.44
65;2000-12-04;7.44
66;2000-12-05;7.43
67;2000-12-06;7.41
68;2000-12-07;7.41
69;2000-12-08;7.41
70;2000-12-09;7.40
71;2000-12-10;7.42
72;2000-12-11;7.47
73;2000-12-12;7.47
74;2000-12-13;7.46
75;2000-12-14;7.46
76;2000-12-15;7.45
77;2000-12-16;7.45
78;2000-12-17;7.44
79;2000-12-18;7.43
80;2000-12-19;7.43
81;2000-12-20;7.41
82;2000-12-21;7.40
83;2000-12-22;7.39
84;2000-12-23;7.39
85;2000-12-24;7.39
86;2000-12-25;7.38
87;2000-12-26;7.37
88;2000-12-27;7.36
89;2000-12-28;7.36
90;2000-12-29;7.35
91;2000-12-30;7.35
92;2000-12-31;7.33
93;2001-01-01;7.32
94;2001-01-02;7.31
95;2001-01-03;7.30
96;2001-01-04;7.30
97;2001-01-05;7.29
98;2001-01-06;7.29
99;2001-01-07;7.28
100;2001-01-08;7.27
101;2001-01-09;7.26
102;2001-01-10;7.25
103;2001-01-11;7.24
104;2001-01-12;7.24
105;2001-01-13;7.22
106;2001-01-14;7.22
107;2001-01-15;7.21
108;2001-01-16;7.21
